test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.5189,1,True,1,True,False,True,Softmax,500,0.001,0.0033,0.01,0.1,0.0033,512
0.1015,1,True,1,True,False,True,Softmax,500,0.001,0.1,0.01,0.1,0.0033,512
0.5639,1,True,1,True,False,True,Softmax,500,0.001,0.001,0.01,0.1,0.0033,512
0.572,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.5276,1,True,1,True,False,True,Softmax,500,0.001,0.0033,0.01,0.1,0.0033,512
0.1009,1,True,1,True,False,True,Softmax,500,0.001,0.3,0.01,0.1,0.0033,512
0.4881,1,True,1,True,False,True,Softmax,500,0.001,0.01,0.01,0.1,0.0033,512
0.5762,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.1004,1,True,1,True,False,True,Softmax,500,0.001,0.1,0.01,0.1,0.0033,512
0.5786,1,True,1,True,False,True,Softmax,500,0.001,0.001,0.01,0.1,0.0033,512
0.1007,1,True,1,True,False,True,Softmax,500,0.001,0.3,0.01,0.1,0.0033,512
0.1007,1,True,1,True,False,True,Softmax,500,0.001,0.1,0.01,0.1,0.0033,512
0.5334,1,True,1,True,False,True,Softmax,500,0.001,0.0033,0.01,0.1,0.0033,512
0.4613,1,True,1,True,False,True,Softmax,500,0.001,0.01,0.01,0.1,0.0033,512
0.5319,1,True,1,True,False,True,Softmax,500,0.001,0.0033,0.01,0.1,0.0033,512
0.5722,1,True,1,True,False,True,Softmax,500,0.001,0.001,0.01,0.1,0.0033,512
0.4579,1,True,1,True,False,True,Softmax,500,0.001,0.01,0.01,0.1,0.0033,512
0.5666,1,True,1,True,False,True,Softmax,500,0.001,0.001,0.01,0.1,0.0033,512
0.1005,1,True,1,True,False,True,Softmax,500,0.001,0.3,0.01,0.1,0.0033,512
0.5775,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.5806,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.1009,1,True,1,True,False,True,Softmax,500,0.001,0.1,0.01,0.1,0.0033,512
0.5339,1,True,1,True,False,True,Softmax,500,0.001,0.0033,0.01,0.1,0.0033,512
0.1011,1,True,1,True,False,True,Softmax,500,0.001,0.1,0.01,0.1,0.0033,512
0.1011,1,True,1,True,False,True,Softmax,500,0.001,0.3,0.01,0.1,0.0033,512
0.454,1,True,1,True,False,True,Softmax,500,0.001,0.01,0.01,0.1,0.0033,512
0.5754,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.1009,1,True,1,True,False,True,Softmax,500,0.001,0.3,0.01,0.1,0.0033,512
0.1003,1,True,1,True,False,True,Softmax,500,0.001,0.1,0.01,0.1,0.0033,512
0.5699,1,True,1,True,False,True,Softmax,500,0.001,0.001,0.01,0.1,0.0033,512
0.5295,1,True,1,True,False,True,Softmax,500,0.001,0.0033,0.01,0.1,0.0033,512
0.5777,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.4897,1,True,1,True,False,True,Softmax,500,0.001,0.01,0.01,0.1,0.0033,512
0.5638,1,True,1,True,False,True,Softmax,500,0.001,0.001,0.01,0.1,0.0033,512



0.5659,1,True,1,True,False,False,Softmax,500,0.0008,0.0001,0.0006,0.0009,0.0033,128
0.5519,1,True,1,True,False,False,Softmax,500,0.0008,9e-05,0.0006,0.0009,0.0033,128
0.5611,1,True,1,True,False,False,Softmax,500,0.0008,7e-05,0.0006,0.0009,0.0033,128
0.5594,1,True,1,True,False,False,Softmax,500,0.0008,5e-05,0.0006,0.0009,0.0033,128
