test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize,MHsigma
0.2589,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0
0.258,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.1
0.2774,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,10
0.2632,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,5
0.2595,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,2.5
0.2578,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,8
0.2566,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1.5
0.2488,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.5
0.2637,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1
0.2407,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.7
0.2491,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2461,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0
0.244,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.05
0.2494,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.01
0.2374,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.1
